seq	rf	ada	mlp	ens
a/beijing/32/1992.a/swine/mexico/8630565/2011	1.1	1.3	1.6	1.3
a/beijing/32/1992.a/swine/mexico/8630459/2011	2.1	2.3	2.1	2.2
a/beijing/32/1992.a/swine/mexico/9890611/2013	2.1	2.3	2.6	2.3
a/beijing/32/1992.a/swine/mexico/84706352130/2015	2.1	2.0	2.0	2.1
a/beijing/32/1992.a/swine/mexico/985778/2013	2.0	2.1	1.9	2.0
a/beijing/32/1992.a/moscow/10/1999	0.1	0.2	0.2	0.1
a/beijing/32/1992.a/shanghai/11/1987	0.6	0.5	0.5	0.5
a/beijing/32/1992.a/sichuan/02/1987	0.8	0.9	0.7	0.8
a/beijing/32/1992.a/portchalmers/1/1973	0.4	0.2	0.6	0.4
a/beijing/32/1992.a/swine/michigan/a01104095/2016	0.9	0.9	1.5	1.1
a/beijing/32/1992.a/beijing/353/1989	0.3	0.4	0.4	0.4
a/beijing/32/1992.a/sydney/5/1997	2.0	2.1	1.5	1.8
a/beijing/32/1992.a/texas/1/1977	0.4	0.3	0.4	0.4
a/beijing/32/1992.a/philippines/2/1982	1.0	1.1	0.5	0.8
a/beijing/32/1992.a/leningrad/360/1986	0.1	0.1	0.5	0.2
a/fujian/411/2002.a/bangkok/01/1979	0.9	1.2	1.1	1.1
a/fujian/411/2002.a/beijing/32/1992	1.8	1.7	2.0	1.8
a/fujian/411/2002.a/fujian/411/2002	0.0	0.0	0.0	0.0
a/fujian/411/2002.a/wisconsin/67/2005	0.6	0.3	0.7	0.5
a/fujian/411/2002.a/brisbane/10/2007	0.9	0.8	1.6	1.1
a/fujian/411/2002.a/perth/16/2009	3.2	3.0	3.1	3.1
a/fujian/411/2002.a/victoria/361/2011	2.8	3.0	3.0	2.9
a/fujian/411/2002.a/switzerland/9715293/2013	2.1	1.7	2.4	2.1
a/fujian/411/2002.a/hongkong/4801/2014	0.6	0.6	0.9	0.7
a/fujian/411/2002.a/swine/iowa/a01480656/2014	0.1	0.0	0.3	0.1
a/fujian/411/2002.a/swine/missouri/a01476459/2012	1.7	1.6	1.3	1.5
a/fujian/411/2002.a/swine/missouri/a01410819/2014	1.3	1.7	1.0	1.3
a/fujian/411/2002.a/swine/ohio/16tosu4788/2016	0.4	0.6	0.8	0.6
a/fujian/411/2002.a/swine/ohio/a01354299/2017	1.4	1.3	1.3	1.3
a/fujian/411/2002.a/swine/oklahoma/a02218157/2017	1.2	1.4	1.6	1.4
a/fujian/411/2002.a/wuhan/359/1995	2.4	2.2	2.3	2.3
a/fujian/411/2002.a/swine/indiana/a01729045/2016	2.0	1.6	1.8	1.8
a/fujian/411/2002.a/moscow/10/1999	0.9	1.0	1.3	1.1
a/fujian/411/2002.a/shanghai/11/1987	2.6	2.8	2.7	2.7
a/fujian/411/2002.a/swine/michigan/a01104095/2016	0.8	1.0	1.2	1.0
a/fujian/411/2002.a/beijing/353/1989	2.2	2.3	1.9	2.1
a/fujian/411/2002.a/sydney/5/1997	2.3	2.1	2.4	2.3
a/fujian/411/2002.a/texas/1/1977	0.8	0.7	1.0	0.8
a/fujian/411/2002.a/philippines/2/1982	0.3	0.1	0.5	0.0
a/fujian/411/2002.a/leningrad/360/1986	2.0	1.6	1.8	1.8
a/fujian/411/2002.a/swine/colorado/23619/1999	2.6	2.9	2.5	2.6
a/fujian/411/2002.a/swine/indiana/a00968373/2012	1.9	2.3	1.9	2.0
a/fujian/411/2002.a/swine/nebraska/a01241171/2012	1.0	0.7	0.7	0.8
a/fujian/411/2002.a/swine/iowa/a01300195/2012	2.2	2.4	2.3	2.3
a/fujian/411/2002.a/swine/minnesota/a01125993/2012	1.5	1.6	1.7	1.6
a/fujian/411/2002.a/swine/minnesota/a01300213/2012	1.7	1.9	2.5	2.0
a/fujian/411/2002.a/swine/minnesota/a01327922/2012	2.0	2.1	2.2	2.1
a/fujian/411/2002.a/swine/iowa/a01290671/2013	2.0	2.1	2.2	2.1
a/fujian/411/2002.a/swine/arkansas/a01840240/2014	2.2	2.6	2.2	2.3
a/fujian/411/2002.a/swine/illinois/a01840351/2015	1.9	2.2	2.1	2.1
a/fujian/411/2002.a/swine/illinois/a01503899/2014	1.8	2.1	1.7	1.9
a/fujian/411/2002.a/swine/illinois/a01489882/2015	0.4	0.6	0.6	0.5
a/fujian/411/2002.a/swine/illinois/a01502036/2014	0.2	0.5	0.1	0.3
a/fujian/411/2002.a/swine/wyoming/a01445305/2013	1.0	0.9	0.8	0.9
a/fujian/411/2002.a/swine/wyoming/a01397400/2013	0.6	0.7	0.8	0.7
a/fujian/411/2002.a/swine/wyoming/a01444566/2013	0.8	0.4	0.8	0.7
a/fujian/411/2002.a/swine/wyoming/a01381202/2013	1.2	1.6	1.2	1.3
a/fujian/411/2002.a/swine/nebraska/a01493501/2014	1.8	1.7	2.0	1.8
a/fujian/411/2002.a/swine/minnesota/a01366992/2014	1.9	2.2	2.1	2.1
a/fujian/411/2002.a/swine/indiana/a01260466/2014	0.4	0.5	0.5	0.4
a/fujian/411/2002.a/swine/north_carolina/a01410118/2014	0.9	1.3	0.9	1.0
a/fujian/411/2002.a/swine/north_carolina/a01410709/2014	0.2	0.3	0.0	0.2
a/fujian/411/2002.a/swine/iowa/a01501685/2014	0.4	0.6	0.6	0.5
a/fujian/411/2002.a/swine/illinois/a01327903/2012	0.7	0.4	0.4	0.5
a/fujian/411/2002.a/swine/illinois/a00843193/2014	0.1	0.3	0.1	0.0
a/fujian/411/2002.a/swine/wyoming/a01444562/2013	0.2	0.2	0.2	0.1
a/fujian/411/2002.a/swine/california/a01459016/2015	1.9	2.2	2.1	2.1
a/fujian/411/2002.a/swine/illinois/a02076652/2015	2.2	2.6	2.2	2.3
a/fujian/411/2002.a/swine/iowa/a01733626/2016	1.8	2.1	1.7	1.9
a/fujian/411/2002.a/swine/minnesota/a01365586/2013	0.6	0.8	0.7	0.7
a/fujian/411/2002.a/swine/iowa/a01432770/2013	2.2	2.4	2.3	2.3
a/fujian/411/2002.a/swine/illinois/a01728585/2015	1.2	1.4	1.3	1.3
a/fujian/411/2002.a/swine/illinois/a01462475/2015	1.0	1.1	1.2	1.1
a/fujian/411/2002.a/swine/indiana/a01812162/2016	1.6	2.0	1.6	1.7
a/fujian/411/2002.a/swine/illinois/a01475803/2014	1.2	0.8	1.0	1.0
a/fujian/411/2002.a/swine/north_carolina/a01476722/2014	0.9	1.3	0.9	1.0
a/fujian/411/2002.a/swine/indiana/a01260268/2013	1.1	0.8	0.8	0.9
a/fujian/411/2002.a/swine/minnesota/a01277201/2012	0.7	0.9	1.5	1.0
a/fujian/411/2002.a/swine/iowa/a01730108/2016	2.6	2.2	2.4	2.4
a/fujian/411/2002.a/swine/minnesota/a01471950/2015	1.4	1.6	1.6	1.5
a/fujian/411/2002.a/swine/north_carolina/a01732564/2016	1.2	1.4	1.3	1.3
a/fujian/411/2002.a/swine/iowa/a01729543/2016	1.4	1.5	1.5	1.4
a/fujian/411/2002.a/swine/nebraska/a01478775/2015	0.8	0.7	1.0	0.8
a/wisconsin/67/2005.a/bangkok/01/1979	1.9	1.9	1.9	1.9
a/wisconsin/67/2005.a/fujian/411/2002	0.2	0.3	0.0	0.2
a/wisconsin/67/2005.a/wisconsin/67/2005	0.0	0.0	0.0	0.0
a/wisconsin/67/2005.a/brisbane/10/2007	0.2	0.5	0.2	0.3
a/wisconsin/67/2005.a/perth/16/2009	1.4	1.5	1.2	1.4
a/wisconsin/67/2005.a/victoria/361/2011	1.4	1.5	1.2	1.4
a/wisconsin/67/2005.a/switzerland/9715293/2013	1.2	1.4	1.5	1.4
a/wisconsin/67/2005.a/hongkong/4801/2014	1.5	1.6	1.5	1.5
a/wisconsin/67/2005.a/swine/missouri/a01476459/2012	0.4	0.7	0.7	0.6
a/wisconsin/67/2005.a/swine/ohio/16tosu4788/2016	1.6	1.7	1.8	1.7
a/wisconsin/67/2005.a/swine/ohio/a01354299/2017	1.2	1.3	1.4	1.3
a/wisconsin/67/2005.a/swine/oklahoma/a02218157/2017	0.5	0.3	0.7	0.5
a/wisconsin/67/2005.a/swine/texas/4199-2/1998	2.1	2.2	2.2	2.1
a/wisconsin/67/2005.a/swine/denmark/15164-1-p1/2014	1.9	2.0	2.1	2.0
a/wisconsin/67/2005.a/swine/mexico/8630565/2011	1.5	1.6	1.1	1.4
a/wisconsin/67/2005.a/swine/mexico/8630459/2011	2.1	2.0	1.8	1.9
a/wisconsin/67/2005.a/swine/mexico/avx53/2013	0.9	0.6	0.0	0.5
a/wisconsin/67/2005.a/turkey/ohio/313053/2004	2.1	2.0	1.8	1.9
a/wisconsin/67/2005.a/swine/mexico/avx15/2012	0.6	0.6	0.6	0.6
a/wisconsin/67/2005.a/moscow/10/1999	0.7	0.6	1.0	0.7
a/wisconsin/67/2005.a/swine/michigan/a01104095/2016	1.1	1.2	1.3	1.2
a/wisconsin/67/2005.a/beijing/353/1989	1.6	1.9	1.5	1.7
a/wisconsin/67/2005.a/philippines/2/1982	0.3	0.1	0.4	0.0
a/wisconsin/67/2005.a/leningrad/360/1986	2.3	2.5	2.3	2.3
a/wisconsin/67/2005.a/swine/texas/4199-1/1998	2.1	2.2	2.2	2.1
a/wisconsin/67/2005.a/swine/colorado/23619/1999	2.1	2.0	2.4	2.1
a/wisconsin/67/2005.a/swine/indiana/a00968373/2012	0.9	1.2	1.0	1.0
a/wisconsin/67/2005.a/swine/iowa/a01202613/2011	1.9	2.1	1.8	1.9
a/wisconsin/67/2005.a/swine/iowa/a01049750/2011	1.9	1.9	1.9	1.9
a/wisconsin/67/2005.a/swine/nebraska/a01241171/2012	1.5	1.6	1.4	1.5
a/wisconsin/67/2005.a/swine/iowa/a01300195/2012	1.1	1.0	0.8	0.9
a/wisconsin/67/2005.a/swine/iowa/a01290671/2013	1.3	1.5	1.3	1.3
a/wisconsin/67/2005.a/swine/wyoming/a01397400/2013	0.9	0.9	0.9	0.9
a/wisconsin/67/2005.a/swine/wyoming/a01381202/2013	1.9	1.9	1.9	1.9
a/wisconsin/67/2005.a/swine/illinois/a01475803/2014	0.8	1.2	1.0	1.0
a/brisbane/10/2007.a/bangkok/01/1979	0.9	1.2	1.3	1.2
a/brisbane/10/2007.a/fujian/411/2002	1.3	1.4	0.7	1.1
a/brisbane/10/2007.a/wisconsin/67/2005	1.8	2.2	1.8	1.9
a/brisbane/10/2007.a/brisbane/10/2007	0.0	0.0	0.0	0.0
a/brisbane/10/2007.a/perth/16/2009	0.8	0.9	1.1	0.9
a/brisbane/10/2007.a/victoria/361/2011	1.1	1.4	1.2	1.2
a/brisbane/10/2007.a/switzerland/9715293/2013	1.4	1.4	1.4	1.4
a/brisbane/10/2007.a/hongkong/4801/2014	1.6	1.5	1.4	1.5
a/brisbane/10/2007.a/swine/missouri/a01476459/2012	0.9	1.1	1.1	1.0
a/brisbane/10/2007.a/swine/ohio/16tosu4788/2016	0.6	0.5	0.5	0.5
a/brisbane/10/2007.a/swine/ohio/a01354299/2017	2.0	1.9	1.6	1.9
a/brisbane/10/2007.a/swine/oklahoma/a02218157/2017	2.2	2.2	1.8	2.1
a/brisbane/10/2007.a/wuhan/359/1995	3.0	3.1	2.4	2.8
a/brisbane/10/2007.a/swine/indiana/a01729045/2016	1.1	0.6	0.8	0.9
a/brisbane/10/2007.a/swine/nebraska/a01567651/2015	0.7	0.7	0.7	0.7
a/brisbane/10/2007.a/moscow/10/1999	1.0	1.0	1.0	1.0
a/brisbane/10/2007.a/shanghai/11/1987	3.0	3.0	2.9	3.0
a/brisbane/10/2007.a/sichuan/02/1987	2.9	3.2	2.8	3.0
a/brisbane/10/2007.a/portchalmers/1/1973	1.3	1.3	1.6	1.4
a/brisbane/10/2007.a/swine/michigan/a01104095/2016	0.6	0.5	0.5	0.5
a/brisbane/10/2007.a/beijing/353/1989	3.0	3.0	2.9	3.0
a/brisbane/10/2007.a/sydney/5/1997	1.3	1.4	1.7	1.4
a/brisbane/10/2007.a/texas/1/1977	1.1	1.2	1.2	1.2
a/brisbane/10/2007.a/philippines/2/1982	0.5	0.3	0.2	0.2
a/brisbane/10/2007.a/leningrad/360/1986	1.8	1.9	2.1	1.9
a/brisbane/10/2007.a/swine/texas/4199-1/1998	1.4	1.8	1.4	1.5
a/brisbane/10/2007.a/swine/colorado/23619/1999	0.8	0.8	0.8	0.8
a/brisbane/10/2007.a/swine/pennsylvania/a01076777/2010	1.8	2.3	2.1	2.0
a/brisbane/10/2007.a/indiana/8/2011	1.2	1.4	1.1	1.2
a/brisbane/10/2007.a/swine/indiana/a00968373/2012	0.2	0.3	0.6	0.4
a/brisbane/10/2007.a/swine/michigan/a01259000/2012	2.0	2.4	1.9	2.1
a/brisbane/10/2007.a/swine/iowa/a01049750/2011	1.4	1.7	1.8	1.7
a/brisbane/10/2007.a/swine/texas/a01049914/2011	2.2	2.4	2.1	2.2
a/brisbane/10/2007.a/swine/illinois/a01241066/2012	2.1	2.2	2.2	2.2
a/brisbane/10/2007.a/swine/nebraska/a01241171/2012	1.2	1.2	1.3	1.2
a/brisbane/10/2007.a/swine/iowa/a01203121/2012	2.4	2.3	2.0	2.2
a/brisbane/10/2007.a/swine/iowa/a01300195/2012	3.1	3.0	2.8	3.0
a/brisbane/10/2007.a/swine/minnesota/a01125993/2012	0.6	0.2	0.6	0.5
a/brisbane/10/2007.a/swine/minnesota/a01300213/2012	1.8	2.0	2.5	2.1
a/brisbane/10/2007.a/swine/minnesota/a01327922/2012	0.6	0.1	0.3	0.4
a/brisbane/10/2007.a/swine/iowa/a01432826/2013	1.9	2.3	1.9	2.0
a/brisbane/10/2007.a/swine/iowa/a01290671/2013	1.1	0.6	0.8	0.9
a/brisbane/10/2007.a/swine/illinois/a01555180/2014	0.7	0.6	0.4	0.6
a/brisbane/10/2007.a/swine/arkansas/a01840240/2014	2.1	1.7	2.1	2.0
a/brisbane/10/2007.a/swine/illinois/a01240784/2012	2.4	2.8	2.4	2.5
a/brisbane/10/2007.a/swine/illinois/a01475273/2014	0.7	1.1	0.6	0.8
a/brisbane/10/2007.a/swine/illinois/a01503899/2014	1.3	1.3	1.3	1.3
a/brisbane/10/2007.a/swine/illinois/a01502036/2014	0.5	1.0	0.8	0.8
a/brisbane/10/2007.a/swine/wyoming/a01445305/2013	0.6	0.7	0.7	0.7
a/brisbane/10/2007.a/swine/wyoming/a01397400/2013	1.1	0.7	1.1	1.0
a/brisbane/10/2007.a/swine/wyoming/a01444566/2013	0.3	0.1	0.4	0.3
a/brisbane/10/2007.a/swine/wyoming/a01381202/2013	0.1	0.3	0.1	0.0
a/brisbane/10/2007.a/swine/nebraska/a01493501/2014	0.9	0.8	0.5	0.7
a/brisbane/10/2007.a/swine/minnesota/a01366992/2014	1.1	1.2	1.5	1.3
a/brisbane/10/2007.a/swine/indiana/a01260466/2014	0.2	0.5	0.1	0.2
a/brisbane/10/2007.a/swine/north_carolina/a01410118/2014	0.8	0.8	0.8	0.8
a/brisbane/10/2007.a/swine/north_carolina/a01410709/2014	0.5	0.0	0.2	0.2
a/brisbane/10/2007.a/swine/iowa/a01501685/2014	0.8	0.8	0.5	0.7
a/brisbane/10/2007.a/swine/illinois/a01327903/2012	1.8	1.8	1.8	1.8
a/brisbane/10/2007.a/swine/illinois/a00843193/2014	0.5	0.5	0.5	0.5
a/brisbane/10/2007.a/swine/wyoming/a01444562/2013	0.2	0.4	0.1	0.2
a/brisbane/10/2007.a/swine/indiana/a01260591/2014	2.1	1.8	1.7	1.8
a/brisbane/10/2007.a/swine/california/a01459016/2015	1.6	1.3	1.2	1.3
a/brisbane/10/2007.a/swine/minnesota/a01847477/2015	1.1	0.8	0.7	0.8
a/brisbane/10/2007.a/swine/illinois/a02076652/2015	0.4	0.8	0.4	0.5
a/brisbane/10/2007.a/swine/iowa/a01733626/2016	1.9	1.9	1.8	1.9
a/brisbane/10/2007.a/swine/minnesota/a01365586/2013	0.4	0.7	0.3	0.5
a/brisbane/10/2007.a/swine/iowa/a01432770/2013	1.2	1.1	0.9	1.1
a/brisbane/10/2007.a/swine/indiana/a01812162/2016	0.6	0.7	0.7	0.7
a/brisbane/10/2007.a/swine/illinois/a01475803/2014	2.2	2.7	2.5	2.4
a/brisbane/10/2007.a/swine/minnesota/a01480518/2014	1.3	0.9	1.4	1.2
a/brisbane/10/2007.a/swine/north_carolina/a01476722/2014	1.8	1.8	1.8	1.8
a/brisbane/10/2007.a/swine/iowa/a01730108/2016	1.8	1.3	1.5	1.6
a/brisbane/10/2007.a/swine/north_carolina/a01732564/2016	0.6	0.2	0.6	0.5
a/brisbane/10/2007.a/swine/illinois/a01555638/2015	2.4	2.3	2.0	2.2
a/perth/16/2009.a/bangkok/01/1979	0.9	1.0	1.0	1.0
a/perth/16/2009.a/beijing/32/1992	2.6	2.5	2.6	2.6
a/perth/16/2009.a/fujian/411/2002	0.8	0.6	0.7	0.7
a/perth/16/2009.a/wisconsin/67/2005	0.9	0.8	1.1	0.9
a/perth/16/2009.a/brisbane/10/2007	1.8	1.7	1.5	1.7
a/perth/16/2009.a/perth/16/2009	0.0	0.0	0.0	0.0
a/perth/16/2009.a/victoria/361/2011	1.9	2.2	1.8	2.0
a/perth/16/2009.a/switzerland/9715293/2013	2.8	2.6	2.7	2.7
a/perth/16/2009.a/hongkong/4801/2014	0.8	1.2	0.7	0.9
a/perth/16/2009.a/swine/newyork/a01104005/2011	0.6	0.8	0.8	0.7
a/perth/16/2009.a/swine/missouri/a01476459/2012	1.9	1.9	2.1	1.9
a/perth/16/2009.a/swine/missouri/a01410819/2014	0.8	0.7	0.6	0.7
a/perth/16/2009.a/swine/ohio/16tosu4788/2016	0.0	0.2	0.0	0.0
a/perth/16/2009.a/swine/ohio/a01354299/2017	1.3	1.5	1.0	1.3
a/perth/16/2009.a/swine/oklahoma/a02218157/2017	1.8	1.6	1.7	1.7
a/perth/16/2009.a/wuhan/359/1995	2.5	2.4	2.1	2.4
a/perth/16/2009.a/moscow/10/1999	2.3	2.1	2.6	2.3
a/perth/16/2009.a/sichuan/02/1987	1.6	1.9	2.3	1.9
a/perth/16/2009.a/swine/michigan/a01104095/2016	0.1	0.0	0.1	0.0
a/perth/16/2009.a/beijing/353/1989	1.9	2.2	1.8	2.0
a/perth/16/2009.a/sydney/5/1997	3.3	3.1	3.1	3.2
a/perth/16/2009.a/texas/1/1977	0.3	0.3	0.1	0.3
a/perth/16/2009.a/philippines/2/1982	0.3	0.1	0.2	0.2
a/perth/16/2009.a/leningrad/360/1986	1.4	1.6	1.5	1.5
a/perth/16/2009.a/swine/texas/4199-1/1998	1.7	1.7	1.9	1.7
a/perth/16/2009.a/swine/minnesota/1146/2006	1.3	1.1	1.2	1.2
a/perth/16/2009.a/swine/minnesota/2782/2009	2.5	2.8	2.4	2.6
a/perth/16/2009.a/swine/pennsylvania/a01076777/2010	0.5	0.3	0.4	0.4
a/perth/16/2009.a/indiana/8/2011	0.5	0.7	0.7	0.6
a/perth/16/2009.a/swine/indiana/a00968373/2012	0.2	0.2	0.1	0.0
a/perth/16/2009.a/swine/illinois/a01241469/2012	1.0	1.4	1.1	1.2
a/perth/16/2009.a/swine/michigan/a01259000/2012	1.9	1.8	1.6	1.8
a/perth/16/2009.a/swine/indiana/a01202866/2011	0.8	0.9	1.0	0.9
a/perth/16/2009.a/swine/illinois/a01201606/2011	0.4	0.5	0.7	0.5
a/perth/16/2009.a/swine/iowa/a01202613/2011	0.0	0.2	0.2	0.1
a/perth/16/2009.a/swine/iowa/a01202889/2011	0.0	0.2	0.2	0.1
a/perth/16/2009.a/swine/iowa/a01203196/2012	1.7	2.0	1.5	1.7
a/perth/16/2009.a/swine/iowa/a01049750/2011	1.9	2.0	2.0	2.0
a/perth/16/2009.a/swine/texas/a01049914/2011	1.6	1.8	1.8	1.7
a/perth/16/2009.a/swine/illinois/a01241066/2012	0.7	0.7	0.9	0.7
a/perth/16/2009.a/swine/nebraska/a01241171/2012	1.0	1.5	1.3	1.3
a/perth/16/2009.a/swine/iowa/a01203121/2012	1.6	2.0	1.7	1.8
a/perth/16/2009.a/swine/iowa/a01300195/2012	1.7	1.9	1.8	1.8
a/perth/16/2009.a/swine/minnesota/a01125993/2012	0.8	0.7	0.6	0.7
a/perth/16/2009.a/swine/minnesota/a01300213/2012	0.1	0.2	0.2	0.0
a/perth/16/2009.a/swine/minnesota/a01327922/2012	0.6	0.4	0.5	0.5
a/perth/16/2009.a/swine/iowa/a01432826/2013	0.8	0.7	0.6	0.7
a/perth/16/2009.a/swine/iowa/a01290671/2013	0.6	0.4	0.5	0.5
a/perth/16/2009.a/swine/illinois/a01555180/2014	0.7	0.5	0.6	0.6
a/perth/16/2009.a/swine/arkansas/a01840240/2014	1.8	1.7	1.6	1.7
a/perth/16/2009.a/swine/illinois/a01240784/2012	0.4	0.6	0.5	0.5
a/perth/16/2009.a/swine/illinois/a01493027/2014	1.8	1.9	2.0	1.9
a/perth/16/2009.a/swine/illinois/a01840351/2015	1.8	1.9	2.0	1.9
a/perth/16/2009.a/swine/illinois/a01475273/2014	1.1	1.2	1.4	1.2
a/perth/16/2009.a/swine/illinois/a01503899/2014	0.1	0.4	0.1	0.1
a/perth/16/2009.a/swine/illinois/a01489882/2015	2.6	2.1	2.3	2.3
a/perth/16/2009.a/swine/illinois/a01502036/2014	1.4	1.3	1.2	1.3
a/perth/16/2009.a/swine/wyoming/a01445305/2013	0.9	0.9	0.7	0.9
a/perth/16/2009.a/swine/wyoming/a01397400/2013	1.8	1.7	1.6	1.7
a/perth/16/2009.a/swine/wyoming/a01444566/2013	1.0	0.8	0.8	0.9
a/perth/16/2009.a/swine/wyoming/a01381202/2013	1.0	1.2	1.2	1.1
a/perth/16/2009.a/swine/nebraska/a01493501/2014	0.0	0.4	0.1	0.2
a/perth/16/2009.a/swine/minnesota/a01366992/2014	2.0	1.6	1.9	1.8
a/victoria/361/2011.a/bangkok/01/1979	1.9	2.0	1.8	1.9
a/victoria/361/2011.a/beijing/32/1992	1.7	1.9	2.0	1.9
a/victoria/361/2011.a/fujian/411/2002	0.2	0.2	0.3	0.3
a/victoria/361/2011.a/wisconsin/67/2005	0.5	0.5	0.7	0.5
a/victoria/361/2011.a/brisbane/10/2007	1.4	1.1	1.4	1.3
a/victoria/361/2011.a/perth/16/2009	1.7	2.0	1.7	1.8
a/victoria/361/2011.a/victoria/361/2011	0.0	0.0	0.0	0.0
a/victoria/361/2011.a/switzerland/9715293/2013	1.0	1.0	0.3	0.8
a/victoria/361/2011.a/hongkong/4801/2014	1.4	1.3	1.3	1.4
a/victoria/361/2011.a/swine/newyork/a01104005/2011	0.5	0.4	0.7	0.5
a/victoria/361/2011.a/swine/missouri/a01476459/2012	1.5	1.5	1.3	1.4
a/victoria/361/2011.a/swine/missouri/a01410819/2014	2.1	2.2	1.9	2.0
a/victoria/361/2011.a/swine/ohio/16tosu4788/2016	0.4	0.4	0.5	0.5
a/victoria/361/2011.a/swine/ohio/a01354299/2017	1.7	1.8	1.4	1.6
a/victoria/361/2011.a/swine/oklahoma/a02218157/2017	1.0	1.0	0.8	1.0
a/victoria/361/2011.a/swine/indiana/a01729045/2016	0.2	0.2	0.0	0.1
a/victoria/361/2011.a/swine/nebraska/a01567651/2015	0.4	0.3	0.7	0.5
a/victoria/361/2011.a/swine/saskatchewan/sd0059/2014	2.3	2.6	1.8	2.2
a/victoria/361/2011.a/swine/denmark/15164-1-p1/2014	0.4	0.6	0.6	0.5
a/victoria/361/2011.a/swine/mexico/8630565/2011	1.1	1.0	1.3	1.1
a/victoria/361/2011.a/swine/mexico/8630459/2011	0.5	0.8	0.8	0.7
a/victoria/361/2011.a/swine/mexico/9890611/2013	1.5	1.4	1.7	1.5
a/victoria/361/2011.a/swine/mexico/avx36/2012	2.4	2.4	2.4	2.4
a/victoria/361/2011.a/swine/mexico/avx57/2013	3.0	3.0	2.5	2.8
a/victoria/361/2011.a/swine/mexico/avx53/2013	1.2	1.1	1.1	1.1
a/victoria/361/2011.a/turkey/ohio/313053/2004	2.3	2.8	2.3	2.5
a/victoria/361/2011.a/swine/mexico/avx26/2012	1.5	1.6	1.4	1.5
a/victoria/361/2011.a/swine/mexico/avx15/2012	0.5	0.4	0.6	0.5
a/victoria/361/2011.a/portchalmers/1/1973	1.8	1.7	1.7	1.7
a/victoria/361/2011.a/swine/michigan/a01104095/2016	0.8	1.0	0.6	0.8
a/victoria/361/2011.a/beijing/353/1989	1.3	1.8	1.3	1.5
a/victoria/361/2011.a/texas/1/1977	1.8	1.8	1.8	1.8
a/victoria/361/2011.a/philippines/2/1982	0.9	1.2	1.2	1.1
a/victoria/361/2011.a/leningrad/360/1986	1.8	1.8	1.6	1.7
a/victoria/361/2011.a/swine/pennsylvania/a01076777/2010	0.1	0.3	0.4	0.3
a/victoria/361/2011.a/indiana/8/2011	0.8	0.7	1.0	0.8
a/victoria/361/2011.a/swine/indiana/a00968373/2012	0.7	0.8	0.4	0.6
a/victoria/361/2011.a/swine/illinois/a01241469/2012	0.4	0.5	0.1	0.3
a/victoria/361/2011.a/swine/michigan/a01259000/2012	0.9	0.9	1.1	1.0
